127.0.0.1 - - [18/May/2020:16:15:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/May/2020:16:15:58 +0900] "GET /hello/ HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:25 +0900] "GET /hello/vehicleProposal HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:25 +0900] "GET /hello/img/table_right.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:25 +0900] "GET /hello/img/table_left.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:25 +0900] "GET /hello/img/table_mid.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:57 +0900] "GET /hello/vehicleProposal HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:57 +0900] "GET /hello/img/table_left.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:57 +0900] "GET /hello/img/table_right.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:57 +0900] "GET /hello/img/table_mid.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:16:57 +0900] "GET /favicon.ico HTTP/1.1" 404 761
